full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
wshobson/agents,28298,28298,3112,21,21,1,https://github.com/wshobson/agents
anthropics/claude-code-security-review,2967,2967,228,0,0,0,https://github.com/anthropics/claude-code-security-review
edmund-io/edmunds-claude-code,1155,1155,236,1,1,0,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,399,399,544,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
snarktank/ralph,9911,9911,1146,25,25,4,https://github.com/snarktank/ralph
ykdojo/claude-code-tips,2463,2463,159,54,54,6,https://github.com/ykdojo/claude-code-tips
router-for-me/CLIProxyAPI,10031,10031,1592,55,55,11,https://github.com/router-for-me/CLIProxyAPI
ding113/claude-code-hub,1362,1362,177,2,2,0,https://github.com/ding113/claude-code-hub
github/spec-kit,68746,68746,5935,88,88,10,https://github.com/github/spec-kit
lst97/claude-code-sub-agents,1397,1397,223,2,2,0,https://github.com/lst97/claude-code-sub-agents
sugyan/claude-code-webui,898,898,204,-1,-1,0,https://github.com/sugyan/claude-code-webui
feiskyer/claude-code-settings,1189,1189,181,5,5,0,https://github.com/feiskyer/claude-code-settings
ghuntley/claude-code-source-code-deobfuscation,832,832,409,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
siteboon/claudecodeui,6132,6132,811,11,11,0,https://github.com/siteboon/claudecodeui
nishimoto265/Claude-Code-Communication,488,488,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
EveryInc/compound-engineering-plugin,8052,8052,637,91,91,4,https://github.com/EveryInc/compound-engineering-plugin
centminmod/my-claude-code-setup,1833,1833,176,7,7,0,https://github.com/centminmod/my-claude-code-setup
rizethereum/claude-code-requirements-builder,1741,1741,172,1,1,0,https://github.com/rizethereum/claude-code-requirements-builder
sickn33/antigravity-awesome-skills,8217,8217,1700,63,63,13,https://github.com/sickn33/antigravity-awesome-skills
shanraisshan/claude-code-best-practice,2200,2200,147,35,35,4,https://github.com/shanraisshan/claude-code-best-practice
andrepimenta/claude-code-chat,990,990,150,0,0,0,https://github.com/andrepimenta/claude-code-chat
darcyegb/ClaudeCodeAgents,542,542,47,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
slopus/happy,11145,11145,831,75,75,6,https://github.com/slopus/happy
zed-industries/claude-code-acp,910,910,143,4,4,0,https://github.com/zed-industries/claude-code-acp
Njengah/claude-code-cheat-sheet,1303,1303,159,2,2,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1084,1084,130,1,1,0,https://github.com/steipete/claude-code-mcp
winfunc/opcode,20503,20503,1599,8,8,1,https://github.com/winfunc/opcode
disler/claude-code-hooks-multi-agent-observability,1036,1036,308,10,10,3,https://github.com/disler/claude-code-hooks-multi-agent-observability
EnzeD/vibe-coding,3895,3895,1258,-1,-1,0,https://github.com/EnzeD/vibe-coding
cixingguangming55555/wechat-bot,2531,2531,669,0,0,0,https://github.com/cixingguangming55555/wechat-bot
peterkrueck/Claude-Code-Development-Kit,1303,1303,149,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
catlog22/Claude-Code-Workflow,1271,1271,106,1,1,1,https://github.com/catlog22/Claude-Code-Workflow
jarrodwatts/claude-code-config,923,923,115,0,0,0,https://github.com/jarrodwatts/claude-code-config
bfly123/claude_code_bridge,1122,1122,109,6,6,2,https://github.com/bfly123/claude_code_bridge
JessyTsui/Claude-Code-Remote,1027,1027,113,1,1,0,https://github.com/JessyTsui/Claude-Code-Remote
0xfurai/claude-code-subagents,695,695,135,1,1,0,https://github.com/0xfurai/claude-code-subagents
revfactory/claude-code-mastering,754,754,122,1,1,0,https://github.com/revfactory/claude-code-mastering
wasabeef/claude-code-cookbook,998,998,108,1,1,0,https://github.com/wasabeef/claude-code-cookbook
anthropics/claude-plugins-official,7154,7154,678,30,30,0,https://github.com/anthropics/claude-plugins-official
simonw/claude-code-transcripts,983,983,109,1,1,0,https://github.com/simonw/claude-code-transcripts
zhukunpenglinyutong/idea-claude-code-gui,1216,1216,129,4,4,2,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
obra/superpowers,49000,49000,3706,230,230,11,https://github.com/obra/superpowers
pchalasani/claude-code-tools,1404,1404,90,2,2,0,https://github.com/pchalasani/claude-code-tools
numman-ali/openskills,8110,8110,540,15,15,1,https://github.com/numman-ali/openskills
jeremylongshore/claude-code-plugins-plus-skills,1319,1319,158,3,3,-1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
opactorai/Claudable,3734,3734,564,-1,-1,0,https://github.com/opactorai/Claudable
alirezarezvani/claude-code-tresor,506,506,119,2,2,0,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,869,869,93,1,1,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-python,4718,4718,620,9,9,0,https://github.com/anthropics/claude-agent-sdk-python
gavrielc/nanoclaw,6824,6824,822,71,71,7,https://github.com/gavrielc/nanoclaw
kepano/obsidian-skills,9496,9496,509,21,21,2,https://github.com/kepano/obsidian-skills
21st-dev/1code,4886,4886,502,3,3,1,https://github.com/21st-dev/1code
ComposioHQ/awesome-claude-skills,33486,33486,3208,143,143,15,https://github.com/ComposioHQ/awesome-claude-skills
carlvellotti/claude-code-pm-course,674,674,139,15,15,1,https://github.com/carlvellotti/claude-code-pm-course
anthropics/claude-agent-sdk-demos,1398,1398,220,2,2,1,https://github.com/anthropics/claude-agent-sdk-demos
ericbuess/claude-code-docs,673,673,99,1,1,0,https://github.com/ericbuess/claude-code-docs
alirezarezvani/claude-skills,1707,1707,209,3,3,0,https://github.com/alirezarezvani/claude-skills
kn1026/cc,704,704,269,1,1,0,https://github.com/kn1026/cc
severity1/claude-code-prompt-improver,1118,1118,96,0,0,0,https://github.com/severity1/claude-code-prompt-improver
farion1231/cc-switch,17285,17285,1082,89,89,8,https://github.com/farion1231/cc-switch
lyconear/Claude-Code,4,4,145,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1809,1809,57,1,1,0,https://github.com/greggh/claude-code.nvim
upstash/context7,45305,45305,2166,48,48,1,https://github.com/upstash/context7
superdesigndev/superdesign,5959,5959,680,0,0,0,https://github.com/superdesigndev/superdesign
BloopAI/vibe-kanban,20922,20922,1977,17,17,4,https://github.com/BloopAI/vibe-kanban
anomalyco/opencode,101592,101592,9773,219,219,30,https://github.com/anomalyco/opencode
browser-use/browser-use,78137,78137,9248,24,24,0,https://github.com/browser-use/browser-use
Matt-Dionis/claude-code-configs,614,614,79,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
manzaltu/claude-code-ide.el,1328,1328,75,0,0,0,https://github.com/manzaltu/claude-code-ide.el
laravel/claude-code,488,488,15,2,2,0,https://github.com/laravel/claude-code
MadAppGang/claude-code,225,225,21,1,1,0,https://github.com/MadAppGang/claude-code
thedotmack/claude-mem,26650,26650,1779,193,193,15,https://github.com/thedotmack/claude-mem
Yeachan-Heo/oh-my-claudecode,5761,5761,408,52,52,2,https://github.com/Yeachan-Heo/oh-my-claudecode
PleasePrompto/notebooklm-skill,3422,3422,337,8,8,0,https://github.com/PleasePrompto/notebooklm-skill
gsd-build/get-shit-done,12844,12844,1229,77,77,1,https://github.com/gsd-build/get-shit-done
