full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
0xfurai/claude-code-subagents,705,705,136,1,1,0,https://github.com/0xfurai/claude-code-subagents
qwibitai/nanoclaw,8020,8020,1019,79,79,28,https://github.com/qwibitai/nanoclaw
wasabeef/claude-code-cookbook,1001,1001,108,0,0,0,https://github.com/wasabeef/claude-code-cookbook
jarrodwatts/claude-code-config,931,931,112,0,0,1,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1430,1430,90,1,1,0,https://github.com/pchalasani/claude-code-tools
revfactory/claude-code-mastering,754,754,122,0,0,0,https://github.com/revfactory/claude-code-mastering
zhukunpenglinyutong/idea-claude-code-gui,1243,1243,130,1,1,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
simonw/claude-code-transcripts,997,997,110,0,0,0,https://github.com/simonw/claude-code-transcripts
obra/superpowers,51111,51111,3856,126,126,16,https://github.com/obra/superpowers
ComposioHQ/awesome-claude-skills,34617,34617,3350,76,76,15,https://github.com/ComposioHQ/awesome-claude-skills
jeremylongshore/claude-code-plugins-plus-skills,1358,1358,164,3,3,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
numman-ali/openskills,8236,8236,545,9,9,1,https://github.com/numman-ali/openskills
anthropics/claude-agent-sdk-demos,1417,1417,224,3,3,1,https://github.com/anthropics/claude-agent-sdk-demos
alirezarezvani/claude-code-tresor,512,512,119,0,0,1,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,883,883,94,0,0,0,https://github.com/d-kimuson/claude-code-viewer
opactorai/Claudable,3732,3732,565,1,1,2,https://github.com/opactorai/Claudable
anthropics/claude-agent-sdk-python,4783,4783,631,3,3,1,https://github.com/anthropics/claude-agent-sdk-python
21st-dev/1code,4923,4923,503,4,4,2,https://github.com/21st-dev/1code
farion1231/cc-switch,18004,18004,1132,33,33,3,https://github.com/farion1231/cc-switch
superdesigndev/superdesign,5984,5984,678,1,1,0,https://github.com/superdesigndev/superdesign
ericbuess/claude-code-docs,679,679,99,0,0,0,https://github.com/ericbuess/claude-code-docs
kn1026/cc,704,704,268,0,0,1,https://github.com/kn1026/cc
alirezarezvani/claude-skills,1779,1779,217,4,4,1,https://github.com/alirezarezvani/claude-skills
kepano/obsidian-skills,9779,9779,517,25,25,0,https://github.com/kepano/obsidian-skills
greggh/claude-code.nvim,1819,1819,58,1,1,0,https://github.com/greggh/claude-code.nvim
upstash/context7,45677,45677,2181,14,14,4,https://github.com/upstash/context7
anomalyco/opencode,104097,104097,10089,149,149,23,https://github.com/anomalyco/opencode
browser-use/browser-use,78294,78294,9273,7,7,6,https://github.com/browser-use/browser-use
pedrohcgs/claude-code-my-workflow,238,238,196,3,3,10,https://github.com/pedrohcgs/claude-code-my-workflow
lyconear/Claude-Code,4,4,145,0,0,0,https://github.com/lyconear/Claude-Code
severity1/claude-code-prompt-improver,1122,1122,95,0,0,0,https://github.com/severity1/claude-code-prompt-improver
BloopAI/vibe-kanban,21179,21179,2011,14,14,4,https://github.com/BloopAI/vibe-kanban
laravel/claude-code,491,491,16,0,0,0,https://github.com/laravel/claude-code
MadAppGang/claude-code,227,227,22,0,0,0,https://github.com/MadAppGang/claude-code
manzaltu/claude-code-ide.el,1337,1337,76,2,2,0,https://github.com/manzaltu/claude-code-ide.el
gsd-build/get-shit-done,13788,13788,1310,84,84,10,https://github.com/gsd-build/get-shit-done
PleasePrompto/notebooklm-skill,3502,3502,348,2,2,1,https://github.com/PleasePrompto/notebooklm-skill
Matt-Dionis/claude-code-configs,615,615,79,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
Yeachan-Heo/oh-my-claudecode,6154,6154,434,20,20,0,https://github.com/Yeachan-Heo/oh-my-claudecode
